Name,WHORegion,CasesCumulativeTotal,CasesCumulativeTotalPer100000Population,CasesNewlyReportedInLast7Days,CasesNewlyReportedInLast7DaysPer100000Population,CasesNewlyReportedInLast24Hours,DeathsCumulativeTotal,DeathsCumulativeTotalPer100000Population,DeathsNewlyReportedInLast7Days,DeathsNewlyReportedInLast7DaysPer100000Population,DeathsNewlyReportedInLast24Hours
Global,,328532929,4214.910872,19562720,250.9797769,1586889,5542359,71.1056553,48626,0.623846921,5255
United States of America,Americas,64720612,19552.898,4787471,1446.354,0,843718,254.898,12094,3.654,0
India,South-East Asia,37618271,2725.953,1742481,126.266,238018,486761,35.272,2548,0.185,310
Brazil,Americas,23000657,10820.813,476750,224.29,24934,621045,292.175,1064,0.501,74
The United Kingdom,Europe,15305414,22545.758,688481,1014.172,84429,152075,224.015,1845,2.718,85
France,Europe,13917995,21399.342,2011244,3092.349,98813,124610,191.592,1506,2.316,296
Russian Federation,Europe,10865512,7445.474,181308,124.239,31252,322678,221.112,4991,3.42,688
Turkey,Europe,10521208,12474.893,478411,567.247,64935,84920,100.689,1077,1.277,162
Italy,Europe,8790302,14738.569,1235958,2072.312,83387,141391,237.068,2126,3.565,287
Spain,Europe,8424503,17798.516,784598,1657.627,36338,90993,192.242,460,0.972,33
Germany,Europe,8074527,9708.845,493146,592.961,74405,115842,139.289,1491,1.793,193
Argentina,Americas,7197323,15924.77,886479,1961.42,102458,118231,261.597,739,1.635,191
Iran (Islamic Republic of),Eastern Mediterranean,6224196,7410.379,15859,18.881,3163,132095,157.269,180,0.214,20
Colombia,Americas,5543796,10895.206,213134,418.872,32317,130996,257.446,658,1.293,136
Mexico,Americas,4368314,3388.056,212810,165.055,19132,301410,233.773,864,0.67,76
Poland,Europe,4343130,11441.894,110744,291.753,19648,102686,270.524,2432,6.407,377
Indonesia,South-East Asia,4273783,1562.491,6332,2.315,1362,144183,52.713,39,0.014,9
Ukraine,Europe,3768088,8615.971,58217,133.117,8558,98549,225.339,1005,2.298,188
Netherlands,Europe,3611351,20745.847,240599,1382.15,42472,21158,121.545,71,0.408,3
South Africa,Africa,3560921,6004.046,32458,54.727,1691,93451,157.567,921,1.553,87
Philippines,Western Pacific,3242374,2958.881,243908,222.582,37070,52929,48.301,636,0.58,22
Malaysia,Western Pacific,2810689,8684.079,21829,67.444,2342,31809,98.279,113,0.349,16
Canada,Americas,2759991,7312.754,220061,583.064,71240,31530,83.541,742,1.966,340
Czechia,Europe,2624121,24538.395,85527,799.771,20270,36910,345.149,191,1.786,11
Peru,Americas,2606126,7904.093,230313,698.514,43592,203464,617.084,397,1.204,88
Belgium,Europe,2484027,21558.168,152618,1324.528,16,28661,248.741,116,1.007,3
Thailand,South-East Asia,2337811,3349.3,53202,76.221,6397,21956,31.456,106,0.152,18
Iraq,Eastern Mediterranean,2118779,5267.647,19871,49.403,4466,24252,60.295,40,0.099,5
Viet Nam,Western Pacific,2045290,2101.212,130897,134.476,21744,35788,36.767,1257,1.291,179
Romania,Europe,1911546,9889.606,62905,325.446,8118,59257,306.573,230,1.19,17
Portugal,Europe,1906891,18520.861,246833,2397.389,21913,19334,187.783,201,1.952,31
Japan,Western Pacific,1903190,1504.778,131192,103.728,23351,18434,14.575,29,0.023,1
Chile,Americas,1885540,9863.571,52062,272.345,8930,39426,206.244,141,0.738,32
Israel,Europe,1792015,20703.674,216239,2498.272,0,8318,96.1,29,0.335,0
Switzerland,Europe,1726975,19954.376,138775,1603.479,26,12089,139.683,50,0.578,0
Greece,Europe,1679705,15670.988,144323,1346.477,18831,22087,206.063,608,5.672,103
Bangladesh,South-East Asia,1632794,991.439,34405,20.891,8407,28164,17.101,57,0.035,10
Sweden,Europe,1560363,15108.686,88224,854.256,0,15513,150.209,24,0.232,0
Austria,Europe,1459744,16399.657,112443,1263.253,16049,13469,151.319,61,0.685,3
Serbia,Europe,1449192,20921.809,89648,1294.237,12797,13098,189.094,162,2.339,27
Australia,Western Pacific,1425501,5590.225,450033,1764.843,47052,2698,10.58,309,1.212,30
Hungary,Europe,1355084,13870.519,54090,553.66,6851,40601,415.588,585,5.988,94
Pakistan,Eastern Mediterranean,1328487,601.418,22780,10.313,4340,29019,13.137,47,0.021,7
Denmark,Europe,1159986,19921.573,176087,3024.114,28780,3505,60.195,111,1.906,11
Kazakhstan,Europe,1155871,6155.877,71883,382.831,9706,18326,97.6,40,0.213,8
Ireland,Europe,1109818,22355.351,107805,2171.544,6329,6035,121.565,83,1.672,0
Jordan,Eastern Mediterranean,1106006,10839.865,23436,229.694,5039,13004,127.451,111,1.088,18
Morocco,Eastern Mediterranean,1051830,2849.672,47124,127.671,3177,14994,40.623,79,0.214,18
Georgia,Europe,1006864,25239.905,38551,966.39,7521,14512,363.784,248,6.217,31
Cuba,Americas,999193,8821.637,19264,170.077,0,8341,73.641,12,0.106,1
Slovakia,Europe,884604,16207.852,18192,333.317,3933,17398,318.769,359,6.578,46
Nepal,South-East Asia,868215,2979.788,32288,110.815,8730,11624,39.895,17,0.058,1
Bulgaria,Europe,830604,11948.589,43426,624.701,9996,32247,463.887,575,8.272,161
Lebanon,Eastern Mediterranean,826279,12105.863,45446,665.832,6109,9397,137.676,99,1.45,14
Croatia,Europe,818832,20177.395,51649,1272.718,1397,13157,324.211,239,5.889,39
United Arab Emirates,Eastern Mediterranean,808237,8171.933,20050,202.722,2989,2195,22.193,21,0.212,4
Tunisia,Eastern Mediterranean,791917,6700.588,46950,397.255,3905,25817,218.443,147,1.244,14
Belarus,Europe,717034,7588.207,8103,85.752,1391,5836,61.761,112,1.185,12
Bolivia (Plurinational State of),Americas,711299,6093.53,34133,292.409,0,20103,172.218,120,1.028,0
Republic of Korea,Western Pacific,700102,1365.542,29622,57.777,4072,6378,12.44,264,0.515,45
Guatemala,Americas,653171,3645.829,14466,80.745,4224,16176,90.29,51,0.285,16
Azerbaijan,Europe,626085,6174.911,4522,44.599,359,8529,84.119,72,0.71,8
Saudi Arabia,Eastern Mediterranean,620935,1783.585,37404,107.44,5505,8908,25.588,13,0.037,2
Ecuador,Americas,614032,3480.304,46700,264.693,11090,34219,193.952,510,2.891,13
Costa Rica,Americas,609882,11972.279,20226,397.046,0,7406,145.383,25,0.491,0
Sri Lanka,South-East Asia,597035,2788.157,3963,18.507,0,15218,71.068,69,0.322,0
Lithuania,Europe,575357,20591.928,28337,1014.176,4755,7681,274.902,116,4.152,21
Panama,Americas,574856,13322.991,48541,1124.997,7278,7520,174.285,55,1.275,9
Slovenia,Europe,538325,25685.148,44974,2145.848,4967,6194,295.535,13,0.62,0
Myanmar,South-East Asia,533245,980.053,843,1.549,0,19304,35.479,9,0.017,0
Uruguay,Americas,512841,14763.41,63419,1825.674,12574,6243,179.72,51,1.468,18
Norway,Europe,512391,9546.034,61857,1152.419,1134,1382,25.747,32,0.596,1
Dominican Republic,Americas,504914,4654.482,42532,392.076,6331,4269,39.353,14,0.129,1
Paraguay,Americas,501189,7026.797,24297,340.65,3853,16821,235.835,148,2.075,101
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,477151,9353.309,3849,75.45,823,5027,98.541,34,0.666,8
Kuwait,Eastern Mediterranean,470478,11016.747,32876,769.827,5147,2477,58.002,5,0.117,1
Ethiopia,Africa,458203,398.564,11935,10.382,881,7162,6.23,120,0.104,15
Venezuela (Bolivarian Republic of),Americas,453974,1596.48,6686,23.512,0,5378,18.913,21,0.074,0
Puerto Rico,Americas,418418,14625.638,56275,1967.071,5842,3520,123.04,147,5.138,9
Mongolia,Western Pacific,411368,12548.249,15013,457.952,2135,2016,61.495,15,0.458,3
Egypt,Eastern Mediterranean,401308,392.154,7500,7.329,1232,22179,21.673,184,0.18,31
Finland,Europe,399329,7227.292,45017,814.744,3052,1761,31.872,3,0.054,0
Libya,Eastern Mediterranean,398055,5793.015,4072,59.261,736,5853,85.18,57,0.83,12
Republic of Moldova,Europe,390742,9686.306,9757,241.871,1783,10452,259.1,72,1.785,8
Honduras,Americas,382815,3865.02,1561,15.76,0,10450,105.506,6,0.061,0
Armenia,Europe,348145,11748.819,1921,64.828,360,8022,270.718,16,0.54,2
Kenya,Africa,317857,591.128,5285,9.829,223,5499,10.227,45,0.084,11
Bosnia and Herzegovina,Europe,317692,9683.326,15105,460.404,1442,13841,421.877,196,5.974,68
Oman,Eastern Mediterranean,313538,6139.827,5277,103.336,1113,4122,80.719,3,0.059,0
Bahrain,Eastern Mediterranean,310906,18271.66,16440,966.164,2898,1398,82.159,1,0.059,0
Latvia,Europe,305354,16006.605,16639,872.214,1560,4734,248.155,73,3.827,4
Qatar,Eastern Mediterranean,303240,10525.318,28711,996.545,3998,627,21.763,8,0.278,1
Zambia,Africa,296817,1614.544,12428,67.602,685,3866,21.029,49,0.267,6
Singapore,Western Pacific,293014,5008.494,6617,113.104,1165,843,14.409,5,0.085,0
Estonia,Europe,271500,20429.263,15745,1184.747,2301,1987,149.514,28,2.107,3
Nigeria,Africa,251178,121.849,2446,1.187,249,3110,1.509,25,0.012,7
